Resume as transações realizadas em derivativos durante um pregão, incluindo volumes e valores.

Instrumento financeiro;Código ISIN;Segmento;Preço de abertura;Preço mínimo;Preço máximo;Preço médio;Preço de fechamento;Oscilação;Ajuste;Ajuste de referência;Preço de referência;Variação;Valor do ajuste por contrato (R$);Última oferta de compra;Última oferta de venda;Quantidade de negócios;Quantidade de contratos;Volume financeiro
BGIG26P032800;BRBMEFVBGTI9;AGRIBUSINESS;-;-;-;-;-;-;-;-;0,01;-;-;-;-;-;-;-
BGIG26P032900;BRBMEFVBGT03;AGRIBUSINESS;-;-;-;-;-;-;-;-;0,01;-;-;-;-;-;-;-
BGIG26P033000;BRBMEFVBGT29;AGRIBUSINESS;-;-;-;-;-;-;-;-;0,01;-;-;-;-;-;-;-
BGIG26P033100;BRBMEFVBGTL3;AGRIBUSINESS;-;-;-;-;-;-;-;-;0,01;-;-;-;-;-;-;-
BGIG26P033200;BRBMEFVBGTN9;AGRIBUSINESS;-;-;-;-;-;-;-;-;0,02;-;-;-;-;-;-;-
BGIG26P033300;BRBMEFVBGTZ3;AGRIBUSINESS;-;-;-;-;-;-;-;-;0,04;-;-;-;-;-;-;-
BGIG26P033500;BRBMEFVBGTC2;AGRIBUSINESS;-;-;-;-;-;-;-;-;0,1;-;-;-;-;-;-;-
BGIG26P033600;BRBMEFVBGTB4;AGRIBUSINESS;-;-;-;-;-;-;-;-;0,14;-;-;-;-;-;-;-
BGIG26P033700;BRBMEFVBGTH1;AGRIBUSINESS;-;-;-;-;-;-;-;-;0,19;-;-;-;-;-;-;-
BGIG26P033800;BRBMEFVBGTX8;AGRIBUSINESS;-;-;-;-;-;-;-;-;0,25;-;-;-;-;-;-;-
BGIG26P033900;BRBMEFVBGTY6;AGRIBUSINESS;-;-;-;-;-;-;-;-;0,35;-;-;-;-;-;-;-
BGIG26P034000;BRBMEFVBGT45;AGRIBUSINESS;-;-;-;-;-;-;-;-;0,47;-;-;1;-;-;-;-
BGIG26P034100;BRBMEFVBGTE8;AGRIBUSINESS;-;-;-;-;-;-;-;-;0,64;-;-;-;-;-;-;-
BGIG26P034200;BRBMEFVBGU00;AGRIBUSINESS;-;-;-;-;-;-;-;-;0,87;-;-;-;-;-;-;-
BGIG26P034300;BRBMEFVBGTJ7;AGRIBUSINESS;-;-;-;-;-;-;-;-;1,18;-;-;-;-;-;-;-
BGIG26P034500;BRBMEFVBGT78;AGRIBUSINESS;-;-;-;-;-;-;-;-;2,05;-;-;-;-;-;-;-
BGIG26P034700;BRBMEFVBGTW0;AGRIBUSINESS;-;-;-;-;-;-;-;-;3,29;-;-;-;-;-;-;-
BGIG26P035000;BRBMEFVBGSY8;AGRIBUSINESS;-;-;-;-;-;-;-;-;5,7;-;-;-;-;-;-;-
BGIG26P035500;BRBMEFVBGT86;AGRIBUSINESS;-;-;-;-;-;-;-;-;10,36;-;-;-;-;-;-;-
BGIG26P035800;BRBMEFVBGTK5;AGRIBUSINESS;-;-;-;-;-;-;-;-;13,27;-;-;-;-;-;-;-
BGIG26P036000;BRBMEFVBGTM1;AGRIBUSINESS;-;-;-;-;-;-;-;-;15,24;-;-;-;-;-;-;-
BGIH26C029000;BRBMEFCBHQ57;AGRIBUSINESS;-;-;-;-;-;-;-;-;55,58;-;-;-;-;-;-;-
BGIH26C029500;BRBMEFCBHQM5;AGRIBUSINESS;-;-;-;-;-;-;-;-;50,66;-;-;-;-;-;-;-
BGIH26C030000;BRBMEFCBHQF9;AGRIBUSINESS;-;-;-;-;-;-;-;-;45,75;-;-;-;-;-;-;-
BGIH26C030500;BRBMEFCBHQ81;AGRIBUSINESS;-;-;-;-;-;-;-;-;40,84;-;-;-;-;-;-;-
BGIH26C031000;BRBMEFCBHQH5;AGRIBUSINESS;-;-;-;-;-;-;-;-;35,96;-;-;-;-;-;-;-
BGIH26C031200;BRBMEFCBHQJ1;AGRIBUSINESS;-;-;-;-;-;-;-;-;34,02;-;-;-;-;-;-;-
BGIH26C031400;BRBMEFCBHRA8;AGRIBUSINESS;-;-;-;-;-;-;-;-;32,09;-;-;-;-;-;-;-
BGIH26C031500;BRBMEFCBHQG7;AGRIBUSINESS;-;-;-;-;-;-;-;-;31,13;-;-;-;-;-;-;-
BGIH26C031900;BRBMEFCBHQ73;AGRIBUSINESS;-;-;-;-;-;-;-;-;27,34;-;-;-;-;-;-;-
BGIH26C032000;BRBMEFCBHQ99;AGRIBUSINESS;-;-;-;-;-;-;-;-;26,4;-;-;-;-;-;-;-
BGIH26C032100;BRBMEFCBHQN3;AGRIBUSINESS;-;-;-;-;-;-;-;-;25,47;-;-;-;-;-;-;-
BGIH26C032200;BRBMEFCBHQO1;AGRIBUSINESS;-;-;-;-;-;-;-;-;24,53;-;-;-;-;-;-;-
BGIH26C032300;BRBMEFCBHQK9;AGRIBUSINESS;-;-;-;-;-;-;-;-;23,6;-;-;-;-;-;-;-
BGIH26C032350;BRBMEFCBHR72;AGRIBUSINESS;-;-;-;-;-;-;-;-;23,14;-;-;-;-;-;-;-
BGIH26C032400;BRBMEFCBHQP8;AGRIBUSINESS;-;-;-;-;-;-;-;-;22,68;-;-;-;-;-;-;-
BGIH26C032500;BRBMEFCBHQ32;AGRIBUSINESS;-;-;-;-;-;-;-;-;21,77;-;-;-;-;-;-;-
BGIH26C032600;BRBMEFCBHQQ6;AGRIBUSINESS;-;-;-;-;-;-;-;-;20,86;-;-;-;-;-;-;-
BGIH26C032700;BRBMEFCBHQ16;AGRIBUSINESS;-;-;-;-;-;-;-;-;19,97;-;-;-;-;-;-;-
BGIH26C032800;BRBMEFCBHQR4;AGRIBUSINESS;-;-;-;-;-;-;-;-;19,08;-;-;-;-;-;-;-
BGIH26C032900;BRBMEFCBHQS2;AGRIBUSINESS;-;-;-;-;-;-;-;-;18,21;-;-;-;-;-;-;-
BGIH26C033000;BRBMEFCBHQC6;AGRIBUSINESS;-;-;-;-;-;-;-;-;17,35;-;-;-;-;-;-;-
BGIH26C033100;BRBMEFCBHR80;AGRIBUSINESS;-;-;-;-;-;-;-;-;16,5;-;-;-;-;-;-;-
BGIH26C033200;BRBMEFCBHR15;AGRIBUSINESS;-;-;-;-;-;-;-;-;15,67;-;-;-;-;-;-;-
BGIH26C033300;BRBMEFCBHR23;AGRIBUSINESS;-;-;-;-;-;-;-;-;14,85;-;-;-;-;-;-;-
BGIH26C033400;BRBMEFCBHRB6;AGRIBUSINESS;-;-;-;-;-;-;-;-;14,04;-;-;-;-;-;-;-
BGIH26C033500;BRBMEFCBHQB8;AGRIBUSINESS;-;-;-;-;-;-;-;-;13,26;-;-;-;-;-;-;-
BGIH26C033700;BRBMEFCBHR64;AGRIBUSINESS;-;-;-;-;-;-;-;-;11,75;-;-;-;-;-;-;-
BGIH26C033800;BRBMEFCBHR31;AGRIBUSINESS;-;-;-;-;-;-;-;-;11,03;-;-;-;-;-;-;-
BGIH26C033900;BRBMEFCBHQ65;AGRIBUSINESS;-;-;-;-;-;-;-;-;10,34;-;-;-;-;-;-;-
BGIH26C034000;BRBMEFCBHQE2;AGRIBUSINESS;-;-;-;-;-;-;-;-;9,66;-;-;-;-;-;-;-
BGIH26C034100;BRBMEFCBHR98;AGRIBUSINESS;-;-;-;-;-;-;-;-;9,01;-;-;-;-;-;-;-
BGIH26C034200;BRBMEFCBHR56;AGRIBUSINESS;-;-;-;-;-;-;-;-;8,39;-;-;-;-;-;-;-
BGIH26C034300;BRBMEFCBHQI3;AGRIBUSINESS;-;-;-;-;-;-;-;-;7,79;-;-;-;-;-;-;-
BGIH26C034400;BRBMEFCBHRC4;AGRIBUSINESS;-;-;-;-;-;-;-;-;7,23;-;-;-;-;-;-;-
BGIH26C034500;BRBMEFCBHQA0;AGRIBUSINESS;-;-;-;-;-;-;-;-;6,69;-;-;-;-;-;-;-
BGIH26C034600;BRBMEFCBHRD2;AGRIBUSINESS;-;-;-;-;-;-;-;-;6,17;-;-;-;-;-;-;-
BGIH26C034800;BRBMEFCBHR49;AGRIBUSINESS;-;-;-;-;-;-;-;-;5,23;-;-;-;-;-;-;-
BGIH26C034850;BRBMEFCBHRE0;AGRIBUSINESS;-;-;-;-;-;-;-;-;5,01;-;-;-;-;-;-;-
BGIH26C034900;BRBMEFCBHRG5;AGRIBUSINESS;-;-;-;-;-;-;-;-;4,8;-;-;-;-;-;-;-
BGIH26C035000;BRBMEFCBHQL7;AGRIBUSINESS;-;-;-;-;-;-;-;-;4,4;-;-;-;-;-;-;-
BGIH26C035100;BRBMEFCBHQT0;AGRIBUSINESS;-;-;-;-;-;-;-;-;4,02;-;-;-;-;-;-;-
BGIH26C035200;BRBMEFCBHQ24;AGRIBUSINESS;-;-;-;-;-;-;-;-;3,67;-;-;-;-;-;-;-
BGIH26C035300;BRBMEFCBHQU8;AGRIBUSINESS;-;-;-;-;-;-;-;-;3,35;-;-;-;-;-;-;-
BGIH26C035400;BRBMEFCBHQV6;AGRIBUSINESS;-;-;-;-;-;-;-;-;3,05;-;-;-;-;-;-;-
BGIH26C035500;BRBMEFCBHQW4;AGRIBUSINESS;-;-;-;-;-;-;-;-;2,78;-;-;-;-;-;-;-
BGIH26C035600;BRBMEFCBHQX2;AGRIBUSINESS;-;-;-;-;-;-;-;-;2,52;-;-;-;-;-;-;-
BGIH26C035700;BRBMEFCBHQY0;AGRIBUSINESS;-;-;-;-;-;-;-;-;2,29;-;-;-;-;-;-;-
BGIH26C035800;BRBMEFCBHQZ7;AGRIBUSINESS;-;-;-;-;-;-;-;-;2,08;-;-;-;-;-;-;-
BGIH26C035900;BRBMEFCBHR07;AGRIBUSINESS;-;-;-;-;-;-;-;-;1,89;-;-;-;-;-;-;-
BGIH26C036000;BRBMEFCBHQD4;AGRIBUSINESS;1,5;1,5;1,5;1,5;1,5;0;-;-;1,71;-;-;-;-;1;6;2970
BGIH26C036500;BRBMEFCBHQ40;AGRIBUSINESS;-;-;-;-;-;-;-;-;1,03;-;-;-;-;-;-;-
BGIH26C038000;BRBMEFCBHRF7;AGRIBUSINESS;-;-;-;-;-;-;-;-;0,19;-;-;-;-;-;-;-
BGIH26P029000;BRBMEFVBHQ54;AGRIBUSINESS;-;-;-;-;-;-;-;-;0,01;-;-;-;-;-;-;-
BGIH26P029500;BRBMEFVBHQM5;AGRIBUSINESS;-;-;-;-;-;-;-;-;0,01;-;-;-;-;-;-;-
BGIH26P030000;BRBMEFVBHQF9;AGRIBUSINESS;-;-;-;-;-;-;-;-;0,01;-;-;-;-;-;-;-
BGIH26P030500;BRBMEFVBHQ88;AGRIBUSINESS;-;-;-;-;-;-;-;-;0,02;-;-;-;-;-;-;-
BGIH26P031000;BRBMEFVBHQH5;AGRIBUSINESS;-;-;-;-;-;-;-;-;0,06;-;-;-;-;-;-;-
BGIH26P031200;BRBMEFVBHQJ1;AGRIBUSINESS;-;-;-;-;-;-;-;-;0,08;-;-;-;-;-;-;-
BGIH26P031400;BRBMEFVBHRA8;AGRIBUSINESS;-;-;-;-;-;-;-;-;0,12;-;-;-;-;-;-;-
BGIH26P031500;BRBMEFVBHQG7;AGRIBUSINESS;-;-;-;-;-;-;-;-;0,14;-;-;-;-;-;-;-
BGIH26P031900;BRBMEFVBHQ70;AGRIBUSINESS;-;-;-;-;-;-;-;-;0,28;-;-;-;-;-;-;-
BGIH26P032000;BRBMEFVBHQ96;AGRIBUSINESS;-;-;-;-;-;-;-;-;0,33;-;-;-;-;-;-;-
BGIH26P032100;BRBMEFVBHQN3;AGRIBUSINESS;-;-;-;-;-;-;-;-;0,38;-;-;-;-;-;-;-
BGIH26P032200;BRBMEFVBHQO1;AGRIBUSINESS;-;-;-;-;-;-;-;-;0,43;-;-;-;-;-;-;-
BGIH26P032300;BRBMEFVBHQK9;AGRIBUSINESS;-;-;-;-;-;-;-;-;0,48;-;-;-;-;-;-;-
BGIH26P032350;BRBMEFVBHR79;AGRIBUSINESS;-;-;-;-;-;-;-;-;0,52;-;-;-;-;-;-;-
BGIH26P032400;BRBMEFVBHQP8;AGRIBUSINESS;-;-;-;-;-;-;-;-;0,55;-;-;-;-;-;-;-
BGIH26P032500;BRBMEFVBHQ39;AGRIBUSINESS;1,5;1,5;1,5;1,5;1,5;0;-;-;0,62;-;-;-;-;1;6;2970
BGIH26P032600;BRBMEFVBHQQ6;AGRIBUSINESS;-;-;-;-;-;-;-;-;0,7;-;-;-;-;-;-;-
BGIH26P032700;BRBMEFVBHQ13;AGRIBUSINESS;-;-;-;-;-;-;-;-;0,78;-;-;-;-;-;-;-
BGIH26P032800;BRBMEFVBHQR4;AGRIBUSINESS;-;-;-;-;-;-;-;-;0,88;-;-;-;-;-;-;-
BGIH26P032900;BRBMEFVBHQS2;AGRIBUSINESS;-;-;-;-;-;-;-;-;0,99;-;-;-;-;-;-;-
BGIH26P033000;BRBMEFVBHQC6;AGRIBUSINESS;-;-;-;-;-;-;-;-;1,12;-;-;-;-;-;-;-
BGIH26P033100;BRBMEFVBHR87;AGRIBUSINESS;-;-;-;-;-;-;-;-;1,25;-;-;-;-;-;-;-
BGIH26P033200;BRBMEFVBHR12;AGRIBUSINESS;-;-;-;-;-;-;-;-;1,4;-;-;-;-;-;-;-
BGIH26P033300;BRBMEFVBHR20;AGRIBUSINESS;-;-;-;-;-;-;-;-;1,57;-;-;-;-;-;-;-
BGIH26P033400;BRBMEFVBHRB6;AGRIBUSINESS;-;-;-;-;-;-;-;-;1,75;-;-;-;-;-;-;-
